Name;Place;Type;Price;Stars;Rating;City
Stayokay Hostel Maastricht;Jekerkwartier, Maastricht;6 Person Room with Private Bathroom and Shower;14,696;4;8,3;Jekerkwartier
Dormio Resort Maastricht Apartments;Maastricht;Comfort One-Bedroom Apartment;15,443;4;8,4;Maastricht
Dormio Hotel De Prins van Oranje;Maastricht;Deluxe Twin Room;18,459;4;8,3;Maastricht
Dormio Resort Maastricht;Maastricht;Comfort Two-Bedroom House;20,569;4;8,2;Maastricht
Townhouse Apartments;Wijck, Maastricht;Large Studio Apartment;22,048;4;8,1;Wijck
Kaboom Hotel Maastricht;Wijck, Maastricht;Comfort Quadruple Room;22,725;4;8,1;Wijck
easyHotel Maastricht City Centre;Maastricht City Centre, Maastricht;Triple Room;24,819;4;8;Maastricht City Centre
city Apartment Op de Thermen;Maastricht City Centre, Maastricht;Two-Bedroom Apartment;30,616;4;8,2;Maastricht City Centre
Hotel Monastère Maastricht;Boschstraatkwartier, Maastricht;Twin Room;32,443;4;8;Boschstraatkwartier
Townhouse Design Hotel & Spa;Wijck, Maastricht;Large Double Room;23,440;4;7,9;Wijck
Bastion Hotel Maastricht Centrum;Boschstraatkwartier, Maastricht;Deluxe King Room;25,228;3;7,5;Boschstraatkwartier
Derlon Hotel Maastricht;Maastricht City Centre, Maastricht;Deluxe Twin or Double Room;33,970;4;7,9;Maastricht City Centre
NH Maastricht;Randwijck, Maastricht;Standard Double or Twin Room;52,252;4;7,9;Randwijck
Crowne Plaza Maastricht, an IHG Hotel;Wijck, Maastricht;Executive King Room;53,439;4;7,6;Wijck
Botel Maastricht;Jekerkwartier, Maastricht;Family Room (6 Adults) with Shared Shower and Toilet;30,534;3;6,7;Jekerkwartier
Bed & Breakfast Adrichem en Scherpenseel;Middelburg;Forsyth;10,385;5;9,2;Middelburg
B&B Montancourt-Middelburg;Middelburg;Twin Room;10,614;5;9;Middelburg
Logement 't Oude Bierhuys;Middelburg;Double Room;11,022;5;9,1;Middelburg
Logies aan de Dam;Middelburg;Deluxe Room;11,430;5;9,3;Middelburg
B&B 't Poorthuys;Middelburg;Junior Suite;11,512;5;9,4;Middelburg
Budget Hotel Le Beau Rivage;Middelburg;Small Double Room with Shower ;12,165;5;9,3;Middelburg
Hotel Le Beau Rivage;Middelburg;Superior Double Room;15,920;5;9,2;Middelburg
Boutique Hotel De Vier Patriciërs;Middelburg;Deluxe Room;20,329;5;9,3;Middelburg
Hotel Bruno;Middelburg;Budget Twin Room;6,940;5;8,6;Middelburg
Studio 82 b;Middelburg;One-Bedroom Apartment;7,095;5;8,5;Middelburg
Studio 82 a;Middelburg;One-Bedroom Apartment;8,487;5;8,5;Middelburg
Cleen Rochelle;Middelburg;Deluxe Studio;8,899;5;8,5;Middelburg
Stadsstudio 't Stadshuys in hartje Middelburg;Middelburg;One-Bedroom Apartment;9,552;5;8,6;Middelburg
Logement de Spaerpot;Middelburg;Double Room with Private Bathroom;9,797;5;8,9;Middelburg
Loskade 45;Middelburg;Deluxe Double Room with Balcony;12,165;5;8,9;Middelburg
ApartHotel Waepen van Middelburg;Middelburg;Deluxe King Studio;12,246;5;8,9;Middelburg
bednextdoor;Middelburg;Deluxe Double Studio;12,246;5;8,8;Middelburg
Van der Valk Hotel Middelburg;Middelburg;Standard Twin Room;14,206;5;8,8;Middelburg
Hotel Brasserie de Huifkar;Middelburg;Double Room with City View;10,032;5;8,1;Middelburg
De Kaepstander;Middelburg;Double Room with Private Bathroom;12,002;5;8,4;Middelburg
Hotel en privé-wellness De Nieuwe Doelen;Middelburg;Superior Double Room;13,879;5;8,2;Middelburg
Hotel Middelburg;Middelburg;Twin Room;10,894;4;7,7;Middelburg
